"","oppteam","season","team","score","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","scorediff","lose","X","daynum","numot","wloc","team.survscores","opp.survscores","win","powscore1","powscore2","opp.powscore1","opp.powscore2","sos.x","rpi.x","rank.x","sos.y","rpi.y","rank.y","winperlastq.x","winperlastq.y","orank.x","orank.y"
"15",1112,2013,1326,73,22,52,7,13,22,26,11,21,9,8,4,3,18,3,0,700,143,0,"N",0.454514876711736,0.412285918062412,"win",0.58689761720875,0.9241280622211,1.00949369185582,1.14381305101727,0.5857,0.6364,11,0.5724,0.6247,25,0.9,0.555555555555556,13,11
"16",1112,2014,1451,59,16,53,7,17,20,23,13,19,7,10,8,3,17,-9,1,734,137,0,"N",0.491759094405512,0.349877405317496,"lose",-0.146595971507278,-0.168076802056553,1.65686791240207,0.302311058014631,0.4647,0.507,248,0.5965,0.6731,4,0.6,0.7,169,2
"17",1112,2014,1361,64,21,54,4,14,18,23,18,19,4,10,2,2,20,-6,1,766,143,0,"N",0.360953437615242,0.349877405317496,"lose",0.895946333042955,1.09930969134006,1.65686791240207,0.302311058014631,0.5402,0.6246,88,0.5965,0.6731,4,0.8,0.7,20,2
"18",1112,2014,1458,64,24,61,6,17,10,12,13,25,11,8,3,0,15,1,0,775,145,1,"N",0.382148983992217,0.349877405317496,"win",0.607947400723369,-1.29430342399456,1.65686791240207,0.302311058014631,0.5986,0.6418,2,0.5965,0.6731,4,0.777777777777778,0.7,9,2
"19",1112,2014,1211,61,22,54,6,16,11,13,11,28,13,21,3,5,14,-23,1,758,139,0,"N",0.44627931319639,0.349877405317496,"lose",1.00154957774672,-0.731459053014384,1.65686791240207,0.302311058014631,0.5428,0.6181,82,0.5965,0.6731,4,0.777777777777778,0.7,22,2
"20",1113,2014,1400,87,31,58,5,12,20,27,10,20,17,9,6,5,24,2,0,731,136,0,"N",0.462742316443823,0.4786952455513,"win",1.45913656777037,1.42042431590283,1.2124491800041,-0.94820238672902,0.5647,0.5958,43,0.5594,0.5828,52,0.444444444444444,0.375,37,39
"21",1114,2011,1421,81,27,54,4,12,23,28,6,29,17,15,6,1,25,4,0,514,134,1,"N",0.506076950532712,0.515309757836567,"win",0.582834047638058,1.49912321819528,-0.603265024253595,-0.0256580264060152,0.4845,0.4699,196,0.4976,0.4127,166,0.777777777777778,0.6,190,203
"22",1124,2012,1462,70,24,56,3,15,19,24,11,18,10,10,7,4,15,-5,1,636,144,0,"N",0.475253693028033,0.400051878238426,"lose",0.877497813592596,-0.845317159166502,1.14511826753246,0.343897732111398,0.5504,0.6099,56,0.5538,0.5424,48,0.555555555555556,0.6,56,9
"23",1124,2012,1355,60,21,50,10,30,8,14,7,16,16,13,7,1,17,-8,1,584,136,0,"N",0.461369889745133,0.400051878238426,"lose",1.13064180822875,1.5369737126173,1.14511826753246,0.343897732111398,0.4541,0.4892,276,0.5538,0.5424,48,0.888888888888889,0.6,77,9
"24",1124,2012,1246,82,24,45,4,9,30,44,8,24,15,13,9,9,19,12,0,643,146,0,"N",0.304847637140782,0.400051878238426,"win",2.26973260857149,0.0979373575901367,1.14511826753246,0.343897732111398,0.5953,0.6461,8,0.5538,0.5424,48,0.888888888888889,0.6,2,9
"25",1124,2012,1160,63,23,51,5,15,12,18,7,21,13,13,6,3,16,-17,1,616,138,0,"N",0.491212813755287,0.400051878238426,"lose",0.0869037177817537,-0.470228330340419,1.14511826753246,0.343897732111398,0.5532,0.566,49,0.5538,0.5424,48,0.636363636363636,0.6,85,9
"26",1124,2014,1166,55,22,55,5,24,6,9,8,14,11,8,4,0,19,-30,1,759,139,0,"N",0.430407628518699,0.465801756806796,"lose",1.27186453126038,-3.23232951559542,0.848094105298037,-0.0663288437866125,0.5757,0.6332,22,0.5893,0.6019,8,0.7,0.818181818181818,12,34
"27",1124,2014,1458,69,26,51,6,16,11,20,8,31,18,10,1,6,16,17,0,769,143,0,"N",0.382148983992217,0.465801756806796,"win",0.607947400723369,-1.29430342399456,0.848094105298037,-0.0663288437866125,0.5986,0.6418,2,0.5893,0.6019,8,0.777777777777778,0.818181818181818,9,34
"28",1124,2014,1304,60,23,54,4,21,10,16,5,20,7,11,9,7,31,-14,1,735,137,0,"N",0.490175277465706,0.465801756806796,"lose",-0.484737712056636,0.0393782228975781,0.848094105298037,-0.0663288437866125,0.5696,0.5789,29,0.5893,0.6019,8,0.75,0.818181818181818,77,34
"29",1125,2011,1458,72,20,40,12,22,20,25,6,27,13,13,3,2,17,14,0,532,136,0,"N",0.461122323138088,0.396001608212059,"win",0.390900467497579,-2.82295532326803,2.42494094250374,-0.587724261294871,0.5707,0.614,28,0.476,0.5184,218,0.625,1,16,49
"30",1125,2012,1207,74,30,49,5,12,9,13,7,25,14,12,2,3,10,15,0,604,137,0,"N",0.451526743257186,0.419900388829654,"win",0.647665662709529,-0.24951260393123,1.98430078328589,1.93550198885853,0.6186,0.6323,1,0.4587,0.5757,261,0.625,1,16,60
"31",1125,2013,1112,81,29,51,9,17,14,20,12,32,13,16,2,5,21,17,0,651,136,0,"N",0.412285918062412,0.440454719078806,"win",1.00949369185582,1.14381305101727,0.736789651722775,2.14485277600217,0.5724,0.6247,25,0.5413,0.6181,87,0.555555555555556,0.857142857142857,11,42
"32",1129,2013,1247,80,31,49,11,21,7,12,3,19,16,10,4,1,16,9,0,650,135,0,"N",0.478510424079006,0.483889954613204,"win",0.424491914379171,1.5798109317555,0.012465021105153,1.06395302574102,0.5468,0.59,77,0.5563,0.5903,53,0.571428571428571,0.625,54,53
"33",1131,2011,1242,72,29,57,9,20,5,8,11,29,19,14,5,1,13,19,0,538,137,0,"N",0.349262983508766,0.472554711715375,"win",2.64489913839531,-0.118208075284291,-0.360151879351263,-0.900417310047758,0.5974,0.6878,5,0.4852,0.5168,193,0.9,1,2,181
"34",1137,2011,1163,81,32,66,9,24,8,9,13,36,20,6,5,6,13,29,0,520,136,0,"N",0.444870817054448,0.42936331151311,"win",1.40573194899192,0.203654792308547,0.658308454363118,-0.92782575092044,0.5987,0.57,4,0.4326,0.4413,320,0.615384615384615,1,13,103
"35",1137,2013,1139,68,20,55,3,17,25,28,10,31,8,5,6,3,12,12,0,652,136,0,"N",0.433393382990676,0.442234160937392,"win",0.252705014482596,0.325358938735484,0.381119156465998,0.193561281568446,0.5658,0.614,32,0.4844,0.5817,192,0.666666666666667,0.875,31,54
"36",1139,2011,1433,62,23,58,8,22,8,13,6,26,17,10,3,4,24,-8,1,577,152,0,"N",0.468947342626995,0.458272833919525,"lose",0.442267802418256,-1.0735874101601,0.816641754885432,-0.712937099952782,0.5122,0.5671,136,0.5418,0.6267,76,0.375,1,72,49
"37",1139,2011,1196,71,25,57,3,14,18,22,8,26,10,7,6,3,24,-3,1,573,145,1,"N",0.453376098450391,0.458272833919525,"lose",1.16458055977841,-0.347345911137216,0.816641754885432,-0.712937099952782,0.5648,0.5749,36,0.5418,0.6267,76,0.777777777777778,1,20,49
"38",1139,2011,1338,70,26,46,6,11,12,18,7,26,21,12,2,0,18,-1,1,549,138,0,"N",0.404332123127334,0.458272833919525,"lose",1.52714720516674,0.375523503172711,0.816641754885432,-0.712937099952782,0.5866,0.6256,10,0.5418,0.6267,76,0.625,1,5,49
"39",1139,2011,1330,58,16,45,5,15,21,27,13,16,8,15,9,2,17,-2,1,517,136,0,"N",0.443564232907094,0.458272833919525,"lose",0.356606714552536,0.159014021167259,0.816641754885432,-0.712937099952782,0.5381,0.605,89,0.5418,0.6267,76,1,1,40,49
"40",1139,2011,1458,54,17,56,7,29,13,19,12,19,9,11,7,3,20,-7,1,566,143,0,"N",0.461122323138088,0.458272833919525,"lose",0.390900467497579,-2.82295532326803,0.816641754885432,-0.712937099952782,0.5707,0.614,28,0.5418,0.6267,76,0.625,1,16,49
"41",1139,2011,1163,53,19,55,1,11,14,16,17,36,6,11,4,10,15,12,0,579,154,0,"N",0.444870817054448,0.458272833919525,"win",1.40573194899192,0.203654792308547,0.816641754885432,-0.712937099952782,0.5987,0.57,4,0.5418,0.6267,76,0.615384615384615,1,13,49
"42",1139,2013,1137,56,23,62,5,16,5,8,9,28,13,9,0,4,20,-12,1,652,136,0,"N",0.442234160937392,0.433393382990676,"lose",0.381119156465998,0.193561281568446,0.252705014482596,0.325358938735484,0.4844,0.5817,192,0.5658,0.614,32,0.875,0.666666666666667,54,31
"43",1139,2013,1266,74,23,54,5,12,23,27,14,21,9,15,9,4,17,2,0,685,138,0,"N",0.470593620365763,0.433393382990676,"win",0.859925032293534,-0.739705790322169,0.252705014482596,0.325358938735484,0.5815,0.6282,14,0.5658,0.614,32,0.75,0.666666666666667,26,31
"44",1140,2011,1211,67,24,57,2,9,17,21,12,24,18,15,4,5,19,-22,1,550,138,0,"N",0.447715787273738,0.390985497585693,"lose",1.28627009611245,0.71227183767117,2.53099254939479,-0.429372941621237,0.5241,0.5963,118,0.5252,0.6125,116,1,0.777777777777778,50,7
"45",1140,2011,1196,83,31,65,11,34,10,22,10,35,23,15,8,5,12,9,0,568,143,1,"N",0.453376098450391,0.390985497585693,"win",1.16458055977841,-0.347345911137216,2.53099254939479,-0.429372941621237,0.5648,0.5749,36,0.5252,0.6125,116,0.777777777777778,0.777777777777778,20,7
"46",1140,2011,1459,66,22,56,4,19,18,24,7,29,12,13,4,4,20,-8,1,518,136,0,"N",0.485605035575133,0.390985497585693,"lose",0.607539299843476,0.334387384558642,2.53099254939479,-0.429372941621237,0.4826,0.5635,203,0.5252,0.6125,116,1,0.777777777777778,126,7
"47",1140,2012,1233,72,31,70,6,25,4,8,8,28,19,18,10,3,19,-6,1,580,134,0,"N",0.448003367259393,0.467708999709625,"lose",2.03693881635091,2.04835775461252,2.06993182816349,0.879493675969687,0.5176,0.5614,123,0.5782,0.6526,21,0.75,0.714285714285714,51,40
"48",1140,2012,1266,88,30,66,9,20,19,26,16,32,19,16,7,3,20,20,0,592,136,0,"N",0.425248055288652,0.467708999709625,"win",1.92541325222137,-0.216199743768557,2.06993182816349,0.879493675969687,0.5726,0.5684,30,0.5782,0.6526,21,0.714285714285714,0.714285714285714,14,40
"49",1140,2014,1332,87,27,54,2,13,31,38,8,29,21,8,4,4,22,19,0,726,136,0,"N",0.409913576356068,0.472374286364398,"win",1.68325838434897,-0.449950128513286,2.63908214397184,1.5676638749658,0.5763,0.6069,19,0.5727,0.6011,25,0.888888888888889,0.75,27,47
"50",1142,2014,1411,69,24,50,4,13,17,22,11,16,12,13,3,1,23,-12,1,716,135,0,"N",0.491085372766286,0.533716221674339,"lose",0.792689073917951,0.721234745864492,-1.26800351345554,-1.01889231662905,0.4085,0.4622,347,0.5092,0.4793,135,0.909090909090909,0.5,268,189
"51",1142,2014,1455,64,23,50,6,19,12,21,11,35,17,12,4,6,17,27,0,749,137,0,"N",0.233020353876492,0.533716221674339,"win",1.42857299578797,-0.091915236490714,-1.26800351345554,-1.01889231662905,0.5363,0.6522,98,0.5092,0.4793,135,1,0.5,9,189
"52",1143,2012,1378,65,28,49,5,15,4,8,5,27,15,11,3,4,14,11,0,582,135,0,"N",0.503266585027181,0.468355000131676,"win",-1.10752864706713,-0.661941506826314,1.14535139893985,-0.067072215504304,0.5834,0.5022,17,0.5745,0.5568,27,0.666666666666667,0.666666666666667,96,30
"53",1143,2013,1424,61,19,59,6,20,17,26,12,30,11,12,3,6,20,-3,1,653,136,0,"N",0.46106220927711,0.469950238683944,"lose",1.36207068017584,0.520831161275383,0.590586239381831,-0.346855472546688,0.5795,0.6124,17,0.5631,0.5775,37,0.777777777777778,0.75,27,57.5
"54",1143,2013,1393,66,18,46,4,10,26,41,14,23,7,15,10,3,16,6,0,689,138,0,"N",0.432803135698172,0.469950238683944,"win",1.53263835035702,0.477449464221632,0.590586239381831,-0.346855472546688,0.5929,0.6275,7,0.5631,0.5775,37,0.545454545454545,0.75,8,57.5
"55",1153,2011,1163,69,19,44,6,16,25,30,9,26,10,9,3,3,13,11,0,551,138,0,"N",0.444870817054448,0.413570086067794,"win",1.40573194899192,0.203654792308547,0.864093974748897,-0.20629981278588,0.5987,0.57,4,0.5869,0.5698,9,0.615384615384615,0.666666666666667,13,28
"56",1153,2011,1281,63,24,63,6,19,9,13,15,16,15,9,7,3,18,-15,1,519,136,0,"N",0.460914191700668,0.413570086067794,"lose",2.15699936065554,0.196535217595305,0.864093974748897,-0.20629981278588,0.5573,0.5859,47,0.5869,0.5698,9,0.555555555555556,0.666666666666667,24,28
"57",1153,2012,1400,59,20,57,7,20,12,14,10,24,11,11,6,5,15,-6,1,600,137,0,"N",0.485216016189005,0.471073278348664,"lose",1.32615528565813,-0.583098973454708,0.623077387599818,1.31059405548576,0.587,0.6352,15,0.5387,0.5885,83,0.555555555555556,0.7,43,55
"58",1153,2012,1199,56,19,50,6,17,12,15,10,21,11,17,5,8,20,-6,1,624,139,0,"N",0.462824255262594,0.471073278348664,"lose",0.901184727429962,-0.189614024348573,0.623077387599818,1.31059405548576,0.5382,0.5732,87,0.5387,0.5885,83,0.8,0.7,30,55
"59",1153,2012,1326,81,27,56,8,17,19,27,12,23,14,11,13,1,11,15,0,634,143,0,"N",0.440137454608466,0.471073278348664,"win",1.90246023543997,0.0659028842741784,0.623077387599818,1.31059405548576,0.577,0.6723,23,0.5387,0.5885,83,0.6,0.7,4,55
"60",1153,2013,1166,67,19,42,7,15,22,25,7,25,16,16,2,2,11,4,0,667,137,0,"N",0.427611377957244,0.447776054032947,"win",0.18145108661781,2.42882283891355,1.03272442185203,0.426616984431217,0.5442,0.6091,82,0.5716,0.5852,27,0.875,0.375,16,21
"61",1153,2014,1217,61,19,44,6,17,17,28,9,24,9,12,4,3,15,4,0,721,136,0,"N",0.421236718449407,0.389698320261383,"win",1.06541331355437,0.601473063141367,0.74843308529581,0.141705889193436,0.4797,0.5818,212,0.552,0.6172,69,1,0.625,41,22
"62",1155,2011,1452,84,27,55,5,13,25,31,14,23,15,11,6,1,21,8,0,531,136,0,"N",0.492539066553525,0.473592273704854,"win",0.677367572303942,0.20544684984261,0.354041053702236,-0.173604147504993,0.605,0.6607,3,0.573,0.5984,24,0.625,0.5,20,53
"63",1155,2011,1412,52,18,48,12,24,4,7,7,22,10,19,4,3,10,-18,1,513,134,0,"N",0.475767457682251,0.473592273704854,"lose",0.696120373382114,-1.59927541520038,0.354041053702236,-0.173604147504993,0.5329,0.5851,101,0.573,0.5984,24,0.714285714285714,0.5,59,53
"64",1157,2014,1438,70,21,40,8,17,20,25,0,28,16,7,4,5,16,11,0,748,137,0,"N",0.415564621947938,0.499459707117672,"win",0.123080554620447,0.0359555049133496,0.472352924896793,0.547962940671407,0.574,0.6371,24,0.4476,0.4812,291,0.888888888888889,0.75,20,221
"65",1160,2012,1124,80,28,64,11,20,13,18,17,24,15,11,9,4,12,17,0,616,138,0,"N",0.400051878238426,0.491212813755287,"win",1.14511826753246,0.343897732111398,0.0869037177817537,-0.470228330340419,0.5538,0.5424,48,0.5532,0.566,49,0.6,0.636363636363636,9,85
"66",1160,2012,1424,64,23,71,9,36,9,17,12,21,13,8,14,8,22,-4,1,585,136,0,"N",0.446320152208504,0.491212813755287,"lose",1.46841457373303,1.53013345734856,0.0869037177817537,-0.470228330340419,0.569,0.6072,32,0.5532,0.566,49,0.555555555555556,0.636363636363636,17,85
"67",1160,2013,1228,57,16,52,8,31,17,24,11,26,10,12,8,4,12,8,0,671,137,0,"N",0.452812603106782,0.483544044129235,"win",0.0219242315283062,1.2872445467075,0.735004924515978,-0.528889656680332,0.5873,0.5939,9,0.5739,0.5953,24,0.5,0.555555555555556,35,41
"68",1160,2014,1338,77,31,61,4,14,11,12,9,24,18,3,12,3,13,29,0,727,136,0,"N",0.441951296126911,0.457107493673026,"win",0.829783253686405,0.719708729114719,0.428801065893541,1.216979113004,0.5563,0.5895,59,0.5761,0.5981,20,0.555555555555556,0.5,19,36
"69",1161,2012,1293,58,20,51,5,17,13,26,10,22,9,8,9,5,8,17,0,593,136,0,"N",0.323625775280501,0.474218297900753,"win",1.18774668070787,0.17074889835647,0.0374225578289147,-0.223814445820556,0.464,0.5297,243,0.5678,0.5758,35,0.875,0.555555555555556,23,71
"70",1161,2013,1257,82,31,55,5,9,15,18,10,19,14,9,11,2,24,26,0,684,138,0,"N",0.401379312248549,0.45357341376633,"win",2.07632388917808,0.314632046598255,1.61096810701347,-0.41084177603209,0.5941,0.661,6,0.5644,0.6182,35,1,0.555555555555556,5,28
"71",1161,2013,1281,72,24,57,7,23,17,19,3,16,13,5,6,3,24,-12,1,654,136,0,"N",0.478941099995059,0.45357341376633,"lose",1.82080642021413,0.67369697378843,1.61096810701347,-0.41084177603209,0.5592,0.598,48,0.5644,0.6182,35,0.555555555555556,0.555555555555556,29,28
"72",1163,2011,1139,41,12,64,9,33,8,14,20,21,5,6,8,2,17,-12,1,579,154,0,"N",0.458272833919525,0.444870817054448,"lose",0.816641754885432,-0.712937099952782,1.40573194899192,0.203654792308547,0.5418,0.6267,76,0.5987,0.57,4,1,0.615384615384615,49,13
"73",1163,2011,1112,63,24,61,4,21,11,16,19,23,14,9,3,1,12,-2,1,574,145,0,"N",0.442458674954578,0.444870817054448,"lose",1.137659346061,-0.269311678125604,1.40573194899192,0.203654792308547,0.5613,0.5414,41,0.5987,0.57,4,0.7,0.615384615384615,21,13
"74",1163,2011,1246,55,21,62,9,27,4,12,15,22,12,10,11,3,12,-1,1,578,152,0,"N",0.46315533935821,0.444870817054448,"lose",1.91140478188582,-0.595221929707753,1.40573194899192,0.203654792308547,0.5682,0.6658,31,0.5987,0.57,4,0.8,0.615384615384615,12,13
"75",1163,2011,1137,52,16,51,7,21,13,15,1,22,6,5,3,1,10,-29,1,520,136,0,"N",0.42936331151311,0.444870817054448,"lose",0.658308454363118,-0.92782575092044,1.40573194899192,0.203654792308547,0.4326,0.4413,320,0.5987,0.57,4,1,0.615384615384615,103,13
"76",1163,2011,1153,58,22,55,4,14,10,14,9,16,12,8,5,2,19,-11,1,551,138,0,"N",0.413570086067794,0.444870817054448,"lose",0.864093974748897,-0.20629981278588,1.40573194899192,0.203654792308547,0.5869,0.5698,9,0.5987,0.57,4,0.666666666666667,0.615384615384615,28,13
"77",1163,2011,1361,67,27,64,7,22,6,13,15,22,14,9,4,1,14,-7,1,567,143,0,"N",0.35049847974493,0.444870817054448,"lose",1.37835255414051,-0.57884183469015,1.40573194899192,0.203654792308547,0.5558,0.6158,48,0.5987,0.57,4,0.888888888888889,0.615384615384615,7,13
"78",1163,2012,1235,77,26,54,6,16,19,20,12,29,10,11,2,4,15,13,0,588,136,0,"N",0.472693335963417,0.479668902313214,"win",0.760794972578426,1.70509945878706,0.640575921995342,-0.029254365169501,0.5383,0.5136,86,0.5986,0.6305,7,0.625,0.5,42,34
"79",1163,2014,1277,54,18,46,11,29,7,8,6,26,13,16,5,3,16,-6,1,776,146,0,"N",0.43502547092824,0.449985158410025,"lose",1.22460508941052,-1.64589540795956,0.585308124289889,-0.579344847139458,0.5796,0.6199,13,0.5693,0.6145,30,0.6,0.7,9,26
"80",1163,2014,1437,65,18,51,11,31,18,24,6,24,10,16,6,2,24,-12,1,750,138,0,"N",0.397555538369254,0.449985158410025,"lose",1.6819916442897,-1.2207200585103,0.585308124289889,-0.579344847139458,0.5678,0.6455,32,0.5693,0.6145,30,0.75,0.7,6,26
"81",1163,2014,1246,54,18,46,5,16,13,24,10,23,11,13,6,5,10,-6,1,780,154,0,"N",0.477246973258984,0.449985158410025,"lose",1.66594012498358,1.94128486057351,0.585308124289889,-0.579344847139458,0.5966,0.62,3,0.5693,0.6145,30,0.5,0.7,18,26
"82",1163,2014,1235,76,32,69,6,16,6,15,17,19,14,9,4,3,17,-5,1,770,144,0,"N",0.415855329997736,0.449985158410025,"lose",2.50306490425446,-1.74077109297012,0.585308124289889,-0.579344847139458,0.5814,0.6391,12,0.5693,0.6145,30,0.8,0.7,13,26
"83",1163,2014,1196,53,19,49,1,10,14,20,12,15,3,11,3,1,14,-10,1,778,152,0,"N",0.313457462581275,0.449985158410025,"lose",0.785039298375701,-0.44050590392498,0.585308124289889,-0.579344847139458,0.5817,0.6764,11,0.5693,0.6145,30,1,0.7,9,26
"84",1163,2014,1386,81,27,54,7,21,20,27,9,24,12,14,3,2,22,-8,1,718,136,1,"N",0.469854375065538,0.449985158410025,"lose",0.360060981958919,-0.669492528553333,0.585308124289889,-0.579344847139458,0.5594,0.5988,53,0.5693,0.6145,30,0.8,0.7,71,26
"85",1166,2012,1104,57,22,48,7,17,6,12,6,26,9,9,5,4,18,-1,1,601,137,0,"N",0.468366638229331,0.40818366555338,"lose",0.106212420679256,-0.867923405924022,1.40717077353619,1.61206151447707,0.5217,0.5545,114,0.5127,0.5221,132,0.555555555555556,0.875,29,20
"86",1166,2012,1314,87,33,65,8,16,13,19,11,33,16,9,4,9,8,14,0,629,139,0,"N",0.407194635445492,0.40818366555338,"win",3.6312255869627,-0.302924280737202,1.40717077353619,1.61206151447707,0.5989,0.6485,6,0.5127,0.5221,132,0.9,0.875,6,20
"87",1166,2013,1153,63,27,64,5,20,4,9,14,17,12,9,9,4,21,-4,1,667,137,0,"N",0.447776054032947,0.427611377957244,"lose",1.03272442185203,0.426616984431217,0.18145108661781,2.42882283891355,0.5716,0.5852,27,0.5442,0.6091,82,0.375,0.875,21,16
"88",1166,2013,1181,66,19,49,7,20,21,28,7,31,9,9,7,4,20,16,0,691,139,0,"N",0.390146478484371,0.427611377957244,"win",1.47261680792193,1.71450007668886,0.18145108661781,2.42882283891355,0.6068,0.6724,1,0.5442,0.6091,82,0.625,0.875,2,16
"89",1166,2014,1124,85,30,47,11,18,14,21,5,27,19,8,2,3,11,30,0,759,139,0,"N",0.465801756806796,0.430407628518699,"win",0.848094105298037,-0.0663288437866125,1.27186453126038,-3.23232951559542,0.5893,0.6019,8,0.5757,0.6332,22,0.818181818181818,0.7,34,12
"90",1166,2014,1418,66,25,66,4,16,12,17,13,23,8,4,3,5,18,-10,1,736,137,0,"N",0.486351557395826,0.430407628518699,"lose",1.6730566657992,0.460959175315558,1.27186453126038,-3.23232951559542,0.4966,0.5454,162,0.5757,0.6332,22,0.8,0.7,126,12
"91",1172,2012,1257,69,21,52,1,5,26,36,13,27,8,10,5,4,19,7,0,591,136,0,"N",0.435604313488684,0.454255947490505,"win",1.1094401265631,-0.268456219839222,1.53091835289197,1.28064514626811,0.5897,0.6222,13,0.4661,0.4897,236,0.636363636363636,0.777777777777778,19,67
"92",1172,2013,1266,59,20,58,4,15,15,19,17,24,5,9,5,4,20,1,0,658,136,0,"N",0.470593620365763,0.407197132504212,"win",0.859925032293534,-0.739705790322169,0.491633251889329,1.3799734128432,0.5815,0.6282,14,0.4849,0.5653,190,0.75,1,26,93
"93",1173,2014,1196,62,18,48,5,15,21,28,12,25,10,7,5,5,10,10,0,774,145,0,"N",0.313457462581275,0.468694870772762,"win",0.785039298375701,-0.44050590392498,0.582103732087797,-0.14808346875892,0.5817,0.6764,11,0.5539,0.5837,62,1,0.75,9,55
"94",1173,2014,1326,59,24,50,3,12,8,12,3,25,12,14,10,4,16,-1,1,719,136,0,"N",0.415430339654054,0.468694870772762,"lose",0.723066621048847,-0.0489616261593751,0.582103732087797,-0.14808346875892,0.5777,0.6111,16,0.5539,0.5837,62,0.666666666666667,0.75,13,55
